Data Set Size,Capacity, Brute Force Time(NanoSec),DP buttomUp Time(NanoSec), DP Top Down Time(NanoSec),
1,106201,397819,2439466,567375,
1,106201,1232,1343308,4927,
1,106201,821,1176626,5747,
Data Set Size,Capacity, Brute Force Time(NanoSec),DP buttomUp Time(NanoSec), DP Top Down Time(NanoSec),
5,146578,400282,8014274,711888,
5,146578,5747,3957255,57066,
5,146578,6158,3868988,36949,
Data Set Size,Capacity, Brute Force Time(NanoSec),DP buttomUp Time(NanoSec), DP Top Down Time(NanoSec),
10,204521,516878,14748054,1140908,
10,204521,25454,9430249,316531,
10,204521,22991,9027502,175714,
Data Set Size,Capacity, Brute Force Time(NanoSec),DP buttomUp Time(NanoSec), DP Top Down Time(NanoSec),
15,207539,1141319,20014131,2266216,
15,207539,191726,15561757,434357,
15,207539,101405,14838374,416704,
Data Set Size,Capacity, Brute Force Time(NanoSec),DP buttomUp Time(NanoSec), DP Top Down Time(NanoSec),
20,94403,6236198,14928284,2665267,
20,94403,4799696,9269725,521804,
20,94403,7501912,9545201,412188,
Data Set Size,Capacity, Brute Force Time(NanoSec),DP buttomUp Time(NanoSec), DP Top Down Time(NanoSec),
25,193434,140457324,27688883,3274107,
25,193434,106597519,21656316,1543243,
25,193434,107100029,21043371,463507,
Data Set Size,Capacity, Brute Force Time(NanoSec),DP buttomUp Time(NanoSec), DP Top Down Time(NanoSec),
30,23858,3798519077,8587397,4152266,
30,23858,4888544487,3382901,2457530,
30,23858,4898894769,3285191,695466,
Data Set Size,Capacity, Brute Force Time(NanoSec),DP buttomUp Time(NanoSec), DP Top Down Time(NanoSec),
33,117120,35749542549,23427413,4367802,
33,117120,27734700069,17906797,3292991,
33,117120,27474999580,16358627,785375,
