Data Set Size, Capacity, DP buttomUp Time(NanoSec), DP Top Down Time(NanoSec),
1,50332,2480110,647021,
1,50332,971353,6979,
1,50332,876105,7800,
Data Set Size, Capacity, DP buttomUp Time(NanoSec), DP Top Down Time(NanoSec),
5,67354,4621109,664674,
5,67354,3760604,61582,
5,67354,2559756,49676,
Data Set Size, Capacity, DP buttomUp Time(NanoSec), DP Top Down Time(NanoSec),
10,158617,12618960,969299,
10,158617,7462500,285740,
10,158617,7120925,171609,
Data Set Size, Capacity, DP buttomUp Time(NanoSec), DP Top Down Time(NanoSec),
15,77054,9084157,1782592,
15,77054,5372408,384271,
15,77054,5390883,250433,
Data Set Size, Capacity, DP buttomUp Time(NanoSec), DP Top Down Time(NanoSec),
20,126464,16512582,2980566,
20,126464,11177943,957394,
20,126464,11180817,613356,
Data Set Size, Capacity, DP buttomUp Time(NanoSec), DP Top Down Time(NanoSec),
25,206294,27492231,3376743,
25,206294,22821036,1196332,
25,206294,22812414,663033,
Data Set Size, Capacity, DP buttomUp Time(NanoSec), DP Top Down Time(NanoSec),
30,130684,22995929,4657648,
30,130684,17729441,1870038,
30,130684,17450270,963963,
Data Set Size, Capacity, DP buttomUp Time(NanoSec), DP Top Down Time(NanoSec),
40,112039,25642721,5225844,
40,112039,21076625,3973677,
40,112039,21146007,1620836,
Data Set Size, Capacity, DP buttomUp Time(NanoSec), DP Top Down Time(NanoSec),
50,161133,39435844,7405844,
50,161133,43812267,3204725,
50,161133,28696364,1503831,
Data Set Size, Capacity, DP buttomUp Time(NanoSec), DP Top Down Time(NanoSec),
75,89047,35457651,10871676,
75,89047,30094274,6417249,
75,89047,29196409,2729312,
Data Set Size, Capacity, DP buttomUp Time(NanoSec), DP Top Down Time(NanoSec),
100,46234,24738698,18686835,
100,46234,21685054,9125622,
100,46234,20935397,7220688,
Data Set Size, Capacity, DP buttomUp Time(NanoSec), DP Top Down Time(NanoSec),
150,77201,57675184,34661601,
150,77201,46789960,17490093,
150,77201,47201737,11074486,
Data Set Size, Capacity, DP buttomUp Time(NanoSec), DP Top Down Time(NanoSec),
200,187297,212584147,46528031,
200,187297,182052641,33636057,
200,187297,145711085,22641627,
