Data Set Size,DP buttomUp Time(NanoSec), DP Top Down Time(NanoSec)
1,2957986,35454776
1,782501,24223
1,80057,23402
1,6567919,26275
1,32678662,32433
1,805491,21759
1,811650,19707
1,1121613,20117
1,447084,19707
1,883085,30792
Data Set Size,DP buttomUp Time(NanoSec), DP Top Down Time(NanoSec)
2,3238799,658516
2,1065367,29970
2,166272,24633
2,375239,28327
2,1190174,32433
2,2540871,43518
2,1967749,70615
2,2252257,35717
2,697108,24632
2,1060852,26275
Data Set Size,DP buttomUp Time(NanoSec), DP Top Down Time(NanoSec)
3,3466653,676990
3,1278441,36128
3,3293403,80467
3,2746554,57066
3,1092874,41465
3,2669371,34075
3,2090912,60761
3,1018565,36538
3,234422,27096
3,23812,49676
Data Set Size,DP buttomUp Time(NanoSec), DP Top Down Time(NanoSec)
5,5091185,833409
5,3523719,77593
5,4642458,80878
5,747605,52960
5,2469435,108384
5,1248882,116595
5,727077,53371
5,2234604,122343
5,4100536,105511
5,343627,43517
Data Set Size,DP buttomUp Time(NanoSec), DP Top Down Time(NanoSec)
10,9096474,1225891
10,4605097,380986
10,4229448,197473
10,4771780,131786
10,57066,133838
10,3499496,145334
10,6382763,166682
10,8002368,125627
10,1107243,102637
10,10629043,269728
Data Set Size,DP buttomUp Time(NanoSec), DP Top Down Time(NanoSec)
15,15480469,2092555
15,1342076,473360
15,8255675,351017
15,3227304,228263
15,3539320,200346
15,5653633,370723
15,8993837,325153
15,13460170,302984
15,5630232,242633
15,15037900,291899
Data Set Size,DP buttomUp Time(NanoSec), DP Top Down Time(NanoSec)
20,7358631,3162027
20,17561938,808366
20,2218592,514004
20,9656048,837925
20,18769765,485265
20,7983072,444622
20,19407754,423683
20,12244954,247149
20,8000315,340754
20,6367984,332132
Data Set Size,DP buttomUp Time(NanoSec), DP Top Down Time(NanoSec)
25,18913867,3592690
25,23293164,2322871
25,16983067,860915
25,3940012,774701
25,12877605,798102
25,16528182,967247
25,7077817,293952
25,9688892,364976
25,9227438,434769
25,9640448,270961
Data Set Size,DP buttomUp Time(NanoSec), DP Top Down Time(NanoSec)
30,9241396,3926875
30,13217538,1694735
30,14621195,921676
30,13385861,821914
30,31485204,1791624
30,12258091,634704
30,11577815,436822
30,15972713,380987
30,6782225,384271
30,4498766,416294
Data Set Size,DP buttomUp Time(NanoSec), DP Top Down Time(NanoSec)
35,22323864,4407214
35,25412815,2655413
35,19254210,1055515
35,26849316,1474682
35,22028271,1619194
35,26889961,601040
35,13063993,557522
35,2928016,487729
35,7476048,481160
35,23767345,328027
Data Set Size,DP buttomUp Time(NanoSec), DP Top Down Time(NanoSec)
40,10668456,5041508
40,14772277,2336419
40,14608058,1709514
40,19241072,1044019
40,4372729,849009
40,29660737,1546528
40,8930203,614178
40,19778068,672064
40,21173104,601861
40,8919939,602681
Data Set Size,DP buttomUp Time(NanoSec), DP Top Down Time(NanoSec)
50,18559565,7884541
50,16412409,3833271
50,54751273,1486178
50,30379193,2492427
50,20020289,3804122
50,37054265,1237386
50,1968158,973405
50,1333454,1089180
50,4223289,754584
50,593650,682328
Data Set Size,DP buttomUp Time(NanoSec), DP Top Down Time(NanoSec)
55,34701835,8156323
55,9033660,3964235
55,5336691,3114404
55,2101997,2770777
55,6204175,3606649
55,20136885,2067511
55,17091041,1247240
55,45994320,1913967
55,8476549,1603594
55,21396851,1365066
Data Set Size,DP buttomUp Time(NanoSec), DP Top Down Time(NanoSec)
60,36183496,10708689
60,24992415,4510672
60,29280571,2092965
60,55094079,1861417
60,36183085,939740
60,33829424,1161025
60,24271906,2925553
60,37526803,2186569
60,15300239,1673797
60,26720814,841210
Data Set Size,DP buttomUp Time(NanoSec), DP Top Down Time(NanoSec)
65,14879840,9536990
65,29939087,5842074
65,50242653,2780630
65,37075613,2883267
65,1451692,1093696
65,44522512,1030471
65,38277693,2019888
65,53319698,1280904
65,27165026,867484
65,1631101,1011996
Data Set Size,DP buttomUp Time(NanoSec), DP Top Down Time(NanoSec)
70,67214636,12279028
70,19184827,4561169
70,19297317,2866023
70,8153859,2048216
70,31098881,3213345
70,55874527,1447997
70,13898634,1089590
70,31293069,1047714
70,27680261,1142550
70,31026625,1335097
Data Set Size,DP buttomUp Time(NanoSec), DP Top Down Time(NanoSec)
80,14525949,13946667
80,7713754,7784779
80,7293355,8360775
80,34833210,7310597
80,24266569,3941655
80,58540204,1624943
80,29240337,1647522
80,42314594,2333134
80,55423336,1580192
80,15393433,1620426
Data Set Size,DP buttomUp Time(NanoSec), DP Top Down Time(NanoSec)
90,49151011,17533200
90,63059908,6862692
90,63442538,5536627
90,26497477,4293493
90,58518856,2244867
90,48152973,2219413
90,19117908,2165221
90,62649362,2277301
90,13144460,2022761
90,45671221,2495711
Data Set Size,DP buttomUp Time(NanoSec), DP Top Down Time(NanoSec)
100,48271621,20654994
100,14716442,9493883
100,81644107,7882900
100,41135505,5624895
100,9006975,8709329
100,73904078,2631602
100,46600698,3295865
100,91957850,2517881
100,15087576,2556472
100,15369621,2471488
Data Set Size,DP buttomUp Time(NanoSec), DP Top Down Time(NanoSec)
125,106799919,32281664
125,41794021,18133418
125,3736381,11290433
125,54276681,7788473
125,59229101,8477370
125,3109067,8472033
125,51991580,5435222
125,100402377,4751252
125,91691816,6985855
125,61967445,6746917
Data Set Size,DP buttomUp Time(NanoSec), DP Top Down Time(NanoSec)
150,20026448,37819934
150,2674298,24308034
150,5557976,20056006
150,90789435,8433031
150,96140085,13338238
150,58725360,9485672
150,34976490,13548437
150,1475913,7659561
150,74061728,8318899
150,73711531,10842117
Data Set Size,DP buttomUp Time(NanoSec), DP Top Down Time(NanoSec)
175,143783980,43286768
175,84518341,25176340
175,17855889,14382667
175,35523748,11780215
175,90945033,9765665
175,90877703,14153994
175,153681430,11996572
175,108003641,11579047
175,138983462,11365152
175,53755698,11150437
Data Set Size,DP buttomUp Time(NanoSec), DP Top Down Time(NanoSec)
200,130897343,57536418
200,85238439,30382066
200,116199787,21275739
200,68844915,14389647
200,91818675,25911218
200,170426792,18068552
200,56289179,20957156
200,29940730,43736316
200,47407420,18190895
200,57728144,19175385
Data Set Size,DP buttomUp Time(NanoSec), DP Top Down Time(NanoSec)
225,66542572,64386383
225,81277078,36343199
225,20317524,32823585
225,114471797,24596238
225,76007716,23519785
225,71516751,33047333
225,154105524,21244128
225,35045462,23382663
225,124493232,23865876
225,39389452,23025488
Data Set Size,DP buttomUp Time(NanoSec), DP Top Down Time(NanoSec)
250,30400951,75617287
250,164591697,55512015
250,125290513,66538467
250,185908902,53669483
250,23651982,28112567
250,122715566,30276146
250,119976812,32100614
250,129052759,36009835
250,104254943,40801731
250,183797052,31747544
